vehicle_id,timestamp,lat,lng,speed_kmh,fuel_level_pct,engine_on,idle_minutes,hour,day_of_week,is_working_hour,zone_distance_deg,is_anomaly,anomaly_type,refuel
LG-1000,2025-01-06 11:41:00,6.500612,3.358547,0.0,90.1,0,1,11,0,1,0.0017,0,normal,0
LG-1000,2025-01-06 11:41:30,6.49864,3.35868,26.4,90.1,1,0,11,0,1,0.00077,0,normal,0
LG-1000,2025-01-06 11:42:00,6.501508,3.363153,70.6,89.9,1,0,11,0,1,0.00573,0,normal,0
LG-1000,2025-01-06 11:42:30,6.507619,3.363487,81.8,89.7,1,0,11,0,1,0.01022,0,normal,0
LG-1000,2025-01-06 11:43:00,6.514407,3.364605,91.9,89.5,1,0,11,0,1,0.00742,0,normal,0
LG-1000,2025-01-06 11:43:30,6.518688,3.366576,62.9,89.3,1,0,11,0,1,0.00656,0,normal,0
LG-1000,2025-01-06 11:44:00,6.526554,3.367559,105.9,89.1,1,0,11,0,1,0.01238,0,normal,0
LG-1000,2025-01-06 11:44:30,6.534336,3.367373,104.0,88.9,1,0,11,0,1,0.01988,0,normal,0
LG-1000,2025-01-06 11:45:00,6.541479,3.367276,95.4,88.6,1,0,11,0,1,0.0269,0,normal,0
LG-1000,2025-01-06 11:45:30,6.54536,3.367201,51.9,88.5,1,0,11,0,1,0.02792,0,normal,0
LG-1000,2025-01-06 11:46:00,6.550762,3.367086,72.2,88.3,1,0,11,0,1,0.02643,0,normal,0
LG-1000,2025-01-06 11:46:30,6.553801,3.367044,40.6,88.2,1,0,11,0,1,0.02607,0,normal,0
LG-1000,2025-01-06 11:47:00,6.557457,3.366976,48.8,88.1,1,0,11,0,1,0.02609,0,normal,0
LG-1000,2025-01-06 11:47:30,6.564065,3.366812,88.3,87.9,1,0,11,0,1,0.02736,0,normal,0
LG-1000,2025-01-06 11:48:00,6.570947,3.367515,92.4,87.7,1,0,11,0,1,0.03094,0,normal,0
LG-1000,2025-01-06 11:48:30,6.577906,3.371779,108.8,87.5,1,0,11,0,1,0.03387,0,normal,0
LG-1000,2025-01-06 11:49:00,6.58164,3.374492,61.5,87.3,1,0,11,0,1,0.03362,0,normal,0
LG-1000,2025-01-06 11:49:30,6.585581,3.377341,64.8,87.2,1,0,11,0,1,0.03403,0,normal,0
